year_date,Time,Second number,Second,Date,Gravity.x,Gravity.y,Gravity.z,Acceleration.x,Acceleration.y,Acceleration.z,RotationRate.x,RotationRate.y,RotationRate.z,Attitude.roll,Attitude.pitch,Attitude.yaw
2020/9/17,33:12.9,1.60031E+12,2319.912,2020-09-17 11:33:12.871869+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600309992872,-0.419117391,0.875619054,0.240067154,-0.001835823,-0.003043234,0.000774145,0.010685015,0.003962701,-0.002160206,-2.090969783,-1.066716035,-2.995888034
2020/9/17,33:13.9,1.60031E+12,2320.906,2020-09-17 11:33:13.865743+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600309993866,-0.414546669,0.877658308,0.240556896,0.014467835,-0.009477913,-0.023322225,-0.008167769,-0.025523951,0.014090003,-2.096596388,-1.070954368,-3.007732821
2020/9/17,33:14.9,1.60031E+12,2321.9,2020-09-17 11:33:14.859861+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600309994860,-0.410262197,0.877399921,0.248705462,0.00191322,0.007915676,0.000495672,0.006124618,-0.006237272,-0.011174274,-2.115770235,-1.070415563,-3.022904402
2020/9/17,33:15.9,1.60031E+12,2322.894,2020-09-17 11:33:15.853784+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600309995854,-0.418147296,0.876501262,0.238534048,-0.000668943,-0.000432611,-0.000960231,0.017941065,0.005624114,-0.01091122,-2.089207903,-1.068545579,-2.992416082
2020/9/17,33:16.8,1.60031E+12,2323.888,2020-09-17 11:33:16.847702+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600309996848,-0.413708895,0.877482772,0.242629737,8.08E-05,-0.004085064,-0.001013279,-0.016870447,0.003298109,0.020537516,-2.101211279,-1.07058816,-3.00711973
2020/9/17,33:17.8,1.60031E+12,2324.881,2020-09-17 11:33:17.841529+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600309997841,-0.409009308,0.878925145,0.24536176,-0.001246333,0.00678581,0.000144839,0.005818888,-0.005445914,-0.00650775,-2.111137047,-1.073603905,-3.019893811
2020/9/17,33:18.8,1.60031E+12,2325.875,2020-09-17 11:33:18.835526+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600309998835,-0.415293694,0.87812984,0.237528488,-0.003827393,-0.002916515,0.00050199,0.01653678,-0.002063433,-0.011654043,-2.090337735,-1.071939043,-2.994757917
2020/9/17,33:19.8,1.60031E+12,2326.869,2020-09-17 11:33:19.829456+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600309999829,-0.414870948,0.878252566,0.237813354,-0.003548265,0.005368292,-0.002102256,-0.009442356,-0.00318509,0.009455571,-2.091293709,-1.07219565,-2.995124572
2020/9/17,33:20.8,1.60031E+12,2327.863,2020-09-17 11:33:20.823563+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310000823,-0.40925625,0.878787577,0.24544327,-0.000405103,-0.000460267,-0.000605702,-0.009621321,0.003588793,0.008456753,-2.111017314,-1.073315572,-3.017914236
2020/9/17,33:21.8,1.60031E+12,2328.857,2020-09-17 11:33:21.817546+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310001817,-0.411352813,0.8786183,0.242526799,0.000349224,0.00306493,0.000142574,-0.002040368,0.001457732,0.00093998,-2.103521347,-1.072960973,-3.008330694
2020/9/17,33:22.8,1.60031E+12,2329.851,2020-09-17 11:33:22.811403+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310002811,-0.416720033,0.878373027,0.234106496,0.003412902,-0.006349504,-0.003248453,-0.028799545,-0.01393028,0.013115686,-2.082641429,-1.072447629,-2.987735167
2020/9/17,33:23.8,1.60031E+12,2330.845,2020-09-17 11:33:23.805336+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310003805,-0.411055177,0.877348065,0.247577265,-0.003075302,0.010451436,0.006715655,-0.002147692,0.006755891,0.004199489,-2.11290303,-1.070307439,-3.022676129
2020/9/17,33:24.8,1.60031E+12,2331.839,2020-09-17 11:33:24.799307+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600310004799,-0.405066222,0.879720449,0.249025777,-0.00134325,0.001761436,-0.000318289,-0.00048082,0.002476125,0.008573133,-2.122011141,-1.075274015,-3.032719943
